-0.861275, 0.562675; -0.478670, 0.389545; 0.239981, -0.051352; -0.509339, -0.001453; 0.888549, 0.399527; -0.652007, 0.001453; 
-0.858396, 0.575880; -0.476690, 0.396147; 0.239713, -0.053553; -0.509339, 0.000000; 0.890430, 0.376282; -0.652007, 0.000000; 
-0.855520, 0.575147; -0.474900, 0.358000; 0.239453, -0.052086; -0.509339, 0.000000; 0.892217, 0.357395; -0.652007, 0.000000; 
-0.852486, 0.606692; -0.473080, 0.363868; 0.239148, -0.060889; -0.509339, 0.000000; 0.893648, 0.286207; -0.652007, 0.000000; 
-0.849644, 0.568544; -0.471206, 0.374872; 0.238792, -0.071160; -0.509339, 0.000000; 0.895029, 0.276037; -0.652007, 0.000000; 
-0.846827, 0.563409; -0.469376, 0.366069; 0.238418, -0.074828; -0.509339, 0.000000; 0.896336, 0.261509; -0.652007, 0.000000; 
-0.844068, 0.551672; -0.467501, 0.374872; 0.238037, -0.076295; -0.509339, 0.000000; 0.897811, 0.294924; -0.652007, 0.000000; 
-0.841314, 0.550938; -0.465733, 0.353598; 0.237663, -0.074828; -0.509339, 0.000000; 0.899067, 0.251339; -0.652007, 0.000000; 
-0.838559, 0.550938; -0.464031, 0.340393; 0.237325, -0.067492; -0.509339, 0.000000; 0.900106, 0.207754; -0.652007, 0.000000; 
-0.835786, 0.554606; -0.462399, 0.326454; 0.237028, -0.059422; -0.509332, 0.001453; 0.900905, 0.159811; -0.652007, 0.000000; 
-0.832973, 0.562675; -0.460774, 0.324987; 0.236760, -0.053553; -0.509332, 0.000000; 0.901472, 0.113320; -0.652007, 0.000000; 
-0.830155, 0.563409; -0.459123, 0.330123; 0.236544, -0.043283; -0.509325, 0.001453; 0.901850, 0.075547; -0.652007, 0.000000; 
-0.827151, 0.600823; -0.457491, 0.326454; 0.236371, -0.034479; -0.509332, -0.001453; 0.902031, 0.036321; -0.652007, 0.000000; 
-0.824290, 0.572212; -0.455907, 0.316918; 0.236254, -0.023475; -0.509332, 0.000000; 0.902082, 0.010170; -0.652007, 0.000000; 
-0.821404, 0.577348; -0.454311, 0.319118; 0.236173, -0.016139; -0.509332, 0.000000; 0.902082, 0.000000; -0.652007, 0.000000; 
-0.818693, 0.542135; -0.452701, 0.322053; 0.236144, -0.005869; -0.509332, 0.000000; 0.902082, 0.000000; -0.652007, 0.000000; 
-0.815872, 0.564143; -0.451164, 0.307381; 0.236155, 0.002201; -0.509339, -0.001453; 0.902089, 0.001453; -0.652007, 0.000000; 
-0.813132, 0.548003; -0.449719, 0.289041; 0.236162, 0.001467; -0.509339, 0.000000; 0.902097, 0.001453; -0.652007, 0.000000; 
-0.810414, 0.543602; -0.448328, 0.278036; 0.236162, 0.000000; -0.509347, -0.001453; 0.902118, 0.004358; -0.652007, 0.000000; 
-0.807663, 0.550204; -0.447041, 0.257496; 0.236162, 0.000000; -0.509347, 0.000000; 0.902147, 0.005811; -0.652007, 0.000000; 
-0.804985, 0.535532; -0.445790, 0.250160; 0.236166, 0.000734; -0.509347, 0.000000; 0.902162, 0.002906; -0.652007, 0.000000; 
-0.802132, 0.570745; -0.444682, 0.221549; 0.236162, -0.000734; -0.509339, 0.001453; 0.902191, 0.005811; -0.652007, 0.000000; 
-0.799274, 0.571479; -0.443600, 0.216414; 0.236155, -0.001467; -0.509339, 0.000000; 0.902213, 0.004358; -0.652007, 0.000000;
-0.759696, 2.488390; -0.433319, 0.379274; 0.236166, 0.000000; -0.509368, 0.000000; 0.902663, 0.026151; -0.652007, 0.000000; 
-0.756597, 0.619897; -0.432945, 0.074828; 0.236162, -0.000734; -0.509361, 0.001453; 0.902663, 0.000000; -0.652007, 0.000000; 
R
